2017-07-13 18:43:05,330 - MyLogger - INFO - edges: 198610
2017-07-13 18:43:05,427 - MyLogger - INFO - sparse matrix is done
2017-07-13 18:43:57,845 - MyLogger - DEBUG - total: 66430852
2017-07-13 18:43:57,845 - MyLogger - INFO - 66430852
2017-07-13 18:43:58,959 - MyLogger - INFO - [(0, 509), (509, 1023), (1023, 1589), (1589, 2132), (2132, 2686), (2686, 3262), (3262, 3866), (3866, 4508), (4508, 5165), (5165, 5869), (5869, 6564), (6564, 7262), (7262, 7998), (7998, 8760), (8760, 9570), (9570, 10326)]
2017-07-13 18:43:58,959 - MyLogger - INFO - shape: 10326
2017-07-13 18:50:39,615 - MyLogger - DEBUG - Proc 0, completed 33000 in 15.600347757339478 sec. Speed: 64
2017-07-13 18:50:41,614 - MyLogger - DEBUG - Proc 7, completed 10000 in 55.35861253738403 sec. Speed: 18
2017-07-13 18:50:41,658 - MyLogger - DEBUG - Proc 3, completed 13000 in 43.986448526382446 sec. Speed: 22
2017-07-13 18:50:42,677 - MyLogger - DEBUG - Proc 14, completed 5000 in 65.20405554771423 sec. Speed: 15
2017-07-13 18:50:43,204 - MyLogger - DEBUG - Proc 12, completed 6000 in 47.4166362285614 sec. Speed: 21
2017-07-13 18:50:44,318 - MyLogger - DEBUG - Proc 2, completed 19000 in 34.83566474914551 sec. Speed: 28
2017-07-13 18:50:47,395 - MyLogger - DEBUG - Proc 5, completed 9000 in 41.89559745788574 sec. Speed: 23
2017-07-13 18:50:49,047 - MyLogger - DEBUG - Proc 6, completed 9000 in 63.190876483917236 sec. Speed: 15
2017-07-13 18:50:50,011 - MyLogger - DEBUG - Proc 8, completed 8000 in 63.991678953170776 sec. Speed: 15
2017-07-13 18:50:52,587 - MyLogger - DEBUG - Proc 10, completed 6000 in 73.80799722671509 sec. Speed: 13
2017-07-13 18:50:55,491 - MyLogger - DEBUG - Proc 0, completed 34000 in 15.874852657318115 sec. Speed: 62
2017-07-13 18:50:56,225 - MyLogger - DEBUG - Proc 1, completed 28000 in 29.630183458328247 sec. Speed: 33
2017-07-13 18:51:04,537 - MyLogger - DEBUG - Proc 15, completed 3000 in 177.93159794807434 sec. Speed: 5
2017-07-13 18:51:05,328 - MyLogger - DEBUG - Proc 5, completed 10000 in 17.93162965774536 sec. Speed: 55
2017-07-13 18:51:06,082 - MyLogger - DEBUG - Proc 9, completed 7000 in 63.52563691139221 sec. Speed: 15
2017-07-13 18:51:08,750 - MyLogger - DEBUG - Proc 0, completed 35000 in 13.258753299713135 sec. Speed: 75
2017-07-13 18:51:13,216 - MyLogger - DEBUG - Proc 12, completed 7000 in 30.011216163635254 sec. Speed: 33
2017-07-13 18:51:13,563 - MyLogger - DEBUG - Proc 2, completed 20000 in 29.243615865707397 sec. Speed: 34
2017-07-13 18:51:13,682 - MyLogger - DEBUG - Proc 3, completed 14000 in 32.023250341415405 sec. Speed: 31
